plan_vector,condition_vector,training_class,exercise_count,exercise_names
"[0.4183572232723236, 0.3297015130519867, 0.5599504113197327, 0.6767081022262573, 0.1428571492433548, 0.4285714328289032, 0.1428571492433548, 0.0, 0.1428571492433548, 0.1428571492433548, 0.0, 0.0, 0.10535915940999985, 0.11833326518535614, 0.20475086569786072, 0.846316397190094, 0.5219687223434448, 0.6841986775398254, 0.6054084300994873]","[0.485899418592453, 0.45257651805877686, 0.3426063060760498, 0.0, 0.0, 1.0, 1.0, 0.25470057129859924, 1.0, 0.0, 0.0, 0.41121146082878113, 0.0, 0.0, 1.0, 0.6769965291023254, 0.3440840244293213, 0.6482377052307129, 0.5860836505889893, 0.3725599944591522, 0.9821938872337341, 0.46178099513053894, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]",recovery,7,cable squatting curl;dumbbell palms in incline bench press;barbell standing calf raise;dumbbell front raise;impossible dips;dumbbell reverse spider curl;sled 45° leg press (side pov)
"[0.6445357203483582, 0.4660360515117645, 0.64961838722229, 0.7040684819221497, 0.20000000298023224, 0.0, 0.20000000298023224, 0.20000000298023224, 0.0, 0.20000000298023224, 0.20000000298023224, 0.0, 0.12418704479932785, 0.14965566992759705, 0.2605053186416626, 0.9145756959915161, 0.9757027626037598, 0.5755670070648193, 0.748863697052002]","[0.4796813726425171, 0.43255260586738586, 0.3528491258621216, 0.0, 0.0, 1.0, 1.0, 0.31651076674461365, 1.0, 0.0, 0.0, 0.4784224033355713, 0.0, 0.0, 1.0, 0.7993585467338562, 0.3776382505893707, 0.7859333157539368, 0.4162403345108032, 0.37958091497421265, 0.9728352427482605, 0.3491898775100708, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]",recovery,5,weighted side bend (on stability ball);barbell standing close grip curl;smith leg press;kettlebell pistol squat;impossible dips
"[0.46707719564437866, 0.9810543656349182, 0.3022533059120178, 0.8489519953727722, 0.0, 0.20000000298023224, 0.20000000298023224, 0.0, 0.0, 0.0, 0.4000000059604645, 0.20000000298023224, 0.14804616570472717, 0.149615079164505, 0.19531764090061188, 0.9819045066833496, 0.697799563407898, 0.513147234916687, 0.6121736168861389]","[0.2313663363456726, 0.3224979043006897, 0.7975906133651733, 1.0, 1.0, 0.0, 0.0, 0.303455650806427, 0.0, 0.0, 0.0, 0.18189415335655212, 0.0, 1.0, 0.0, 0.44617176055908203, 0.5389504432678223, 0.4477849006652832, 0.6306168437004089, 0.35358649492263794, 0.977271556854248, 0.5750158429145813, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",endurance_threshold,5,assisted hanging knee raise with throw down;weighted side bend (on stability ball);barbell standing rocking leg calf raise;weighted hyperextension (on stability ball);dumbbell front raise
"[0.33373162150382996, 0.7551144957542419, 0.37985920906066895, 0.6190402507781982, 0.0, 0.3333333432674408, 0.0, 0.0, 0.0, 0.6666666865348816, 0.0, 0.0, 0.11774346977472305, 0.14972350001335144, 0.1061083972454071, 0.5456212162971497, 0.5385133624076843, 0.6991806626319885, 0.910794198513031]","[0.45748740434646606, 0.2619529068470001, 0.84425950050354, 1.0, 1.0, 0.0, 0.0, 0.17357201874256134, 0.0, 0.0, 0.0, 0.11820235848426819, 0.0, 0.0, 0.0, 0.11863197386264801, 0.6615339517593384, 0.6550896167755127, 0.6302213072776794, 0.4238029420375824, 0.9777089953422546, 0.5890021324157715, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",endurance_threshold,3,smith leg press;dumbbell over bench revers wrist curl;sled 45° leg press (side pov)
"[0.6067268252372742, 0.5006458163261414, 0.5936461091041565, 0.6223655939102173, 0.0, 0.3333333432674408, 0.1666666716337204, 0.0, 0.3333333432674408, 0.0, 0.1666666716337204, 0.0, 0.05127272754907608, 0.14016442000865936, 0.2091287225484848, 0.9343136548995972, 0.9413684010505676, 0.7224833369255066, 0.7538300156593323]","[0.52178555727005, 0.4301927089691162, 0.5952965617179871, 0.0, 1.0, 0.0, 0.0, 0.23036766052246094, 1.0, 0.0, 0.0, 0.16474485397338867, 0.0, 0.0, 0.0, 0.5963205695152283, 0.49168428778648376, 0.6161507964134216, 0.7089324593544006, 0.34289827942848206, 0.9622506499290466, 0.718695342540741, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]",endurance_basic,6,cable squatting curl;barbell wrist curl v. 2;weighted hyperextension (on stability ball);dumbbell lying single extension;cable seated crunch;dumbbell standing concentration curl
"[0.8133454322814941, 0.6680747270584106, 0.6467134952545166, 0.43573468923568726, 0.0, 0.25, 0.0, 0.0, 0.5, 0.25, 0.0, 0.0, 0.06723359227180481, 0.051801666617393494, 0.11877293139696121, 0.5737352967262268, 0.5394277572631836, 0.9484396576881409, 0.9557191729545593]","[0.4377540051937103, 0.3318287432193756, 0.4508042335510254, 0.0, 1.0, 0.0, 0.0, 0.22194576263427734, 0.0, 0.0, 1.0, 0.10954798012971878, 0.0, 0.0, 0.0, 0.2364264726638794, 0.4921759366989136, 0.5081101059913635, 0.6125150918960571, 0.3881738483905792, 0.9873377084732056, 0.5711269974708557, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]",endurance_basic,4,lever seated row;cable squatting curl;cable seated curl;dumbbell reverse spider curl
"[0.8112481832504272, 0.41944271326065063, 0.3878987729549408, 0.4853626787662506, 0.0, 0.3333333432674408, 0.3333333432674408, 0.0, 0.3333333432674408, 0.0, 0.0, 0.0, 0.1426910161972046, 0.10038121044635773, 0.2293672114610672, 0.6936116814613342, 0.5942610502243042, 0.6114002466201782, 0.901335597038269]","[0.5744956135749817, 0.523751437664032, 0.30731093883514404, 0.0, 0.0, 1.0, 1.0, 0.350375235080719, 1.0, 0.0, 0.0, 0.36965492367744446, 0.0, 0.0, 1.0, 0.7045183181762695, 0.42872291803359985, 0.7622889876365662, 0.44035765528678894, 0.32303860783576965, 0.9707292318344116, 0.3372231721878052, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]",recovery,3,cable seated curl;dumbbell standing concentration curl;barbell standing rocking leg calf raise
"[0.8226885795593262, 0.4971226155757904, 0.43925100564956665, 0.6411150693893433, 0.0, 0.6000000238418579, 0.20000000298023224, 0.0, 0.0, 0.0, 0.20000000298023224, 0.0, 0.1466464400291443, 0.0871582105755806, 0.10645873099565506, 0.7229439616203308, 0.7719647884368896, 0.9004936814308167, 0.8643002510070801]","[0.5460808873176575, 0.5176318287849426, 0.3050404489040375, 0.0, 0.0, 1.0, 1.0, 0.24166539311408997, 0.0, 0.0, 1.0, 0.4110165238380432, 0.0, 0.0, 1.0, 0.5879532098770142, 0.26049312949180603, 0.6092082262039185, 0.6878318786621094, 0.3591926693916321, 0.9826528429985046, 0.4752434194087982, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]",recovery,5,barbell wrist curl v. 2;dumbbell lying single extension;dumbbell palms in incline bench press;dumbbell reverse spider curl;weighted hyperextension (on stability ball)
"[0.5708920359611511, 0.4084283709526062, 0.5450079441070557, 0.8567120432853699, 0.3333333432674408, 0.0, 0.0, 0.0, 0.3333333432674408, 0.3333333432674408, 0.0, 0.0, 0.1152534931898117, 0.08724111318588257, 0.16634929180145264, 0.9658016562461853, 0.9357571601867676, 0.7361792922019958, 0.6767072677612305]","[0.4925593137741089, 0.5390235185623169, 0.24289163947105408, 0.0, 0.0, 1.0, 1.0, 0.21483181416988373, 0.0, 0.0, 0.0, 0.4695362448692322, 0.0, 1.0, 1.0, 0.7717574238777161, 0.43100637197494507, 0.7480847239494324, 0.6533278822898865, 0.375885546207428, 0.9714709520339966, 0.5303674340248108, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]",recovery,3,lever seated row;cable squatting curl;impossible dips
"[0.23991228640079498, 0.3272925913333893, 0.6948788166046143, 0.6541987657546997, 0.25, 0.0, 0.25, 0.0, 0.25, 0.25, 0.0, 0.0, 0.12153705209493637, 0.05964820086956024, 0.11396253854036331, 0.5801268219947815, 0.7135977745056152, 0.5550881028175354, 0.7231668829917908]","[0.5194454789161682, 0.4441010057926178, 0.2095935046672821, 0.0, 0.0, 1.0, 1.0, 0.376409649848938, 0.0, 1.0, 0.0, 0.4177887439727783, 0.0, 0.0, 1.0, 0.5013551115989685, 0.2235870212316513, 0.7113758325576782, 0.42975836992263794, 0.4211849868297577, 0.9664506912231445, 0.3113780915737152, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]",recovery,4,smith leg press;barbell seated overhead triceps extension;cable seated curl;impossible dips
"[0.44595131278038025, 0.3830590844154358, 0.3587428629398346, 0.39186230301856995, 0.0, 0.20000000298023224, 0.20000000298023224, 0.20000000298023224, 0.0, 0.4000000059604645, 0.0, 0.0, 0.08282061666250229, 0.1391969919204712, 0.1736520528793335, 0.8621813654899597, 0.5413737297058105, 0.7955493927001953, 0.7409456372261047]","[0.6125103831291199, 0.4728325307369232, 0.23763999342918396, 0.0, 0.0, 1.0, 1.0, 0.2570556104183197, 0.0, 1.0, 0.0, 0.4908691942691803, 0.0, 0.0, 1.0, 0.7926583886146545, 0.2818344533443451, 0.5893542170524597, 0.536774754524231, 0.3094942271709442, 0.9839606285095215, 0.3229905664920807, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]",recovery,5,hack calf raise;sled 45° leg press (side pov);barbell standing rocking leg calf raise;dumbbell lying single extension;kettlebell pistol squat
"[0.8277320265769958, 0.6929951906204224, 0.5151326656341553, 0.4370012879371643, 0.1428571492433548, 0.1428571492433548, 0.2857142984867096, 0.0, 0.0, 0.2857142984867096, 0.1428571492433548, 0.0, 0.13350942730903625, 0.10727495700120926, 0.1311033070087433, 0.6031491160392761, 0.734127938747406, 0.88982093334198, 0.9696476459503174]","[0.3079044818878174, 0.42654842138290405, 0.5618946552276611, 0.0, 1.0, 0.0, 0.0, 0.24357198178768158, 0.0, 1.0, 0.0, 0.1454794555902481, 0.0, 0.0, 0.0, 0.2737472951412201, 0.4829227924346924, 0.49972471594810486, 0.8446133732795715, 0.31283286213874817, 0.9776763319969177, 0.6379391551017761, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",endurance_basic,7,weighted hyperextension (on stability ball);dumbbell front raise;sled 45° leg press (side pov);lever seated row;barbell incline bench press;barbell standing rocking leg calf raise;bent knee lying twist (male)
"[0.4028317332267761, 0.42876338958740234, 0.5696840882301331, 0.6778491735458374, 0.0, 0.2857142984867096, 0.2857142984867096, 0.0, 0.0, 0.2857142984867096, 0.1428571492433548, 0.0, 0.11525099724531174, 0.09156014770269394, 0.12003420293331146, 0.9555847644805908, 0.7538654804229736, 0.7034860849380493, 0.7944124341011047]","[0.5165055394172668, 0.40744251012802124, 0.38803520798683167, 0.0, 0.0, 1.0, 1.0, 0.3524143397808075, 0.0, 0.0, 0.0, 0.30751121044158936, 0.0, 0.0, 1.0, 0.578169047832489, 0.15334637463092804, 0.5726976990699768, 0.6036328077316284, 0.33081185817718506, 0.9752700924873352, 0.5163454413414001, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",recovery,7,barbell standing calf raise;barbell wrist curl v. 2;dumbbell one arm upright row;weighted hyperextension (on stability ball);smith leg press;dumbbell one arm hammer preacher curl;lever front pulldown
"[0.5141185522079468, 0.9041181802749634, 0.647783637046814, 0.5546807050704956, 0.25, 0.0, 0.0, 0.25, 0.25, 0.25, 0.0, 0.0, 0.14729256927967072, 0.057558510452508926, 0.10067247599363327, 0.690334141254425, 0.8005485534667969, 0.8146000504493713, 0.7382228970527649]","[0.336720734834671, 0.23540829122066498, 0.7768001556396484, 1.0, 1.0, 0.0, 0.0, 0.22283056378364563, 0.0, 0.0, 0.0, 0.2513105273246765, 0.0, 0.0, 0.0, 0.24568088352680206, 0.5129795670509338, 0.6328455805778503, 0.6459227204322815, 0.32996666431427, 0.9658552408218384, 0.4496202766895294, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",endurance_threshold,4,kettlebell pistol squat;impossible dips;cable squatting curl;smith incline bench press
"[0.26720771193504333, 0.6521206498146057, 0.4824972152709961, 0.5201171636581421, 0.0, 0.5, 0.3333333432674408, 0.0, 0.0, 0.0, 0.0, 0.1666666716337204, 0.13355885446071625, 0.08806461095809937, 0.1127326637506485, 0.5329188704490662, 0.5213723182678223, 0.7045727372169495, 0.8592031598091125]","[0.3854638934135437, 0.3659221827983856, 0.5754309892654419, 0.0, 1.0, 0.0, 0.0, 0.223549485206604, 0.0, 1.0, 0.0, 0.003073250176385045, 0.0, 0.0, 0.0, 0.44247740507125854, 0.5173294544219971, 0.6454008221626282, 0.5962226986885071, 0.38620468974113464, 0.9654795527458191, 0.6751571893692017, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",endurance_basic,6,dumbbell one arm hammer preacher curl;barbell seated overhead triceps extension;assisted hanging knee raise with throw down;dumbbell front raise;dumbbell lying single extension;barbell wrist curl v. 2
"[0.777132511138916, 0.9413741827011108, 0.38306987285614014, 0.5938847064971924, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.0, 0.0, 0.0, 0.0, 0.0, 0.07779581844806671, 0.09935774654150009, 0.18732626736164093, 0.6345255374908447, 0.8501967787742615, 0.5632454752922058, 0.5265364050865173]","[0.3723579943180084, 0.3910069167613983, 0.44537410140037537, 0.0, 1.0, 0.0, 0.0, 0.20905740559101105, 0.0, 0.0, 1.0, 0.11751235276460648, 0.0, 0.0, 0.0, 0.39298057556152344, 0.529204785823822, 0.5917386412620544, 0.7594940066337585, 0.35782626271247864, 0.9660682082176208, 0.5141801238059998, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]",endurance_basic,3,impossible dips;barbell standing close grip curl;dumbbell front raise
"[0.6450157165527344, 0.9744850993156433, 0.3632679581642151, 0.31570154428482056, 0.1666666716337204, 0.0, 0.1666666716337204, 0.0, 0.3333333432674408, 0.1666666716337204, 0.1666666716337204, 0.0, 0.10791251808404922, 0.1483493149280548, 0.18352104723453522, 0.6060217022895813, 0.7607707381248474, 0.8243992924690247, 0.6575893759727478]","[0.4882488250732422, 0.29049351811408997, 0.5918087959289551, 0.0, 1.0, 0.0, 0.0, 0.15048055350780487, 0.0, 0.0, 0.0, 0.1413530558347702, 0.0, 0.0, 0.0, 0.23401744663715363, 0.41599732637405396, 0.4526444375514984, 0.7648382782936096, 0.34592509269714355, 0.9835996031761169, 0.551680862903595, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",endurance_basic,6,cable squatting curl;lever seated row;barbell standing rocking leg calf raise;bent knee lying twist (male);weighted hyperextension (on stability ball);cable seated curl
"[0.26508620381355286, 0.734785795211792, 0.41013795137405396, 0.2957913279533386, 0.0, 0.25, 0.25, 0.0, 0.25, 0.25, 0.0, 0.0, 0.10527057945728302, 0.107844777405262, 0.18531380593776703, 0.5361431241035461, 0.9466714859008789, 0.8057153820991516, 0.5578566789627075]","[0.30226296186447144, 0.28169748187065125, 0.7197405695915222, 1.0, 1.0, 0.0, 0.0, 0.30272939801216125, 1.0, 0.0, 0.0, 0.17024339735507965, 0.0, 0.0, 0.0, 0.12671883404254913, 0.7327030301094055, 0.6958950757980347, 0.5265704393386841, 0.33883634209632874, 0.971172034740448, 0.6329174041748047, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",endurance_threshold,4,dumbbell over bench revers wrist curl;hack calf raise;barbell standing calf raise;cable squatting curl
"[0.22086749970912933, 0.9895666837692261, 0.3297194242477417, 0.6834046840667725, 0.25, 0.25, 0.25, 0.0, 0.0, 0.25, 0.0, 0.0, 0.09372558444738388, 0.07493177801370621, 0.23529164493083954, 0.5629487037658691, 0.9291233420372009, 0.6253060102462769, 0.6807268261909485]","[0.18539370596408844, 0.3666418790817261, 0.8911239504814148, 1.0, 0.0, 0.0, 0.0, 0.2654683589935303, 0.0, 0.0, 0.0, 0.1900612711906433, 0.0, 0.0, 0.0, 0.221898153424263, 0.5482128858566284, 0.4665652811527252, 0.836391270160675, 0.31714364886283875, 0.9809238314628601, 0.5018693208694458, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",power_hiit,4,barbell standing calf raise;impossible dips;lever front pulldown;dumbbell one arm hammer preacher curl
"[0.7583931684494019, 0.5448623299598694, 0.4893988072872162, 0.7345527410507202, 0.0, 0.4285714328289032, 0.1428571492433548, 0.0, 0.1428571492433548, 0.1428571492433548, 0.0, 0.1428571492433548, 0.07253286987543106, 0.07171319425106049, 0.2178466022014618, 0.7180284261703491, 0.9744483828544617, 0.6785152554512024, 0.8797777891159058]","[0.407277375459671, 0.2957884669303894, 0.42432457208633423, 0.0, 1.0, 0.0, 0.0, 0.1226784959435463, 0.0, 1.0, 0.0, 0.10133823752403259, 0.0, 1.0, 0.0, 0.42998141050338745, 0.6169793009757996, 0.645263671875, 0.6925739645957947, 0.4139476716518402, 0.9741410613059998, 0.7105884552001953, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]",endurance_basic,7,assisted hanging knee raise with throw down;cable decline fly;dumbbell reverse spider curl;smith incline bench press;barbell wrist curl v. 2;dumbbell standing concentration curl;dumbbell lying single extension
"[0.4989110827445984, 0.6159535646438599, 0.6391172409057617, 0.6408177018165588, 0.0, 0.5, 0.25, 0.0, 0.25, 0.0, 0.0, 0.0, 0.06794072687625885, 0.07110132277011871, 0.10127543658018112, 0.8553350567817688, 0.7428058385848999, 0.974981963634491, 0.8570063710212708]","[0.42622455954551697, 0.4278184771537781, 0.5875654220581055, 0.0, 1.0, 0.0, 0.0, 0.060725677758455276, 0.0, 0.0, 1.0, 0.07499291002750397, 0.0, 0.0, 0.0, 0.5174365043640137, 0.43417707085609436, 0.6170395016670227, 0.7626186013221741, 0.3179241418838501, 0.9844220280647278, 0.6318328976631165, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",endurance_basic,4,cable squatting curl;dumbbell one arm upright row;dumbbell palms in incline bench press;barbell standing calf raise
"[0.42153218388557434, 0.4520009160041809, 0.34262514114379883, 0.36026421189308167, 0.20000000298023224, 0.20000000298023224, 0.20000000298023224, 0.0, 0.20000000298023224, 0.0, 0.0, 0.20000000298023224, 0.05622227117419243, 0.05876423791050911, 0.18640092015266418, 0.6604325175285339, 0.8532804250717163, 0.9351208209991455, 0.8923866152763367]","[0.5019503831863403, 0.36716216802597046, 0.39390531182289124, 0.0, 0.0, 1.0, 1.0, 0.207736998796463, 0.0, 0.0, 0.0, 0.40502047538757324, 0.0, 0.0, 1.0, 0.5263368487358093, 0.3366500735282898, 0.6755660772323608, 0.48426496982574463, 0.42136290669441223, 0.9691233038902283, 0.38491761684417725, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]",recovery,5,cable squatting curl;assisted hanging knee raise with throw down;dumbbell one arm hammer preacher curl;barbell wrist curl v. 2;impossible dips
"[0.32184717059135437, 0.924744725227356, 0.34793296456336975, 0.4429299533367157, 0.0, 0.20000000298023224, 0.4000000059604645, 0.0, 0.20000000298023224, 0.20000000298023224, 0.0, 0.0, 0.1308211386203766, 0.14006845653057098, 0.2368277609348297, 0.5524129271507263, 0.7614961266517639, 0.7863170504570007, 0.6409298777580261]","[0.2623608410358429, 0.21615584194660187, 0.8274582624435425, 1.0, 0.0, 0.0, 0.0, 0.27004051208496094, 0.0, 0.0, 1.0, 0.1889083981513977, 0.0, 0.0, 0.0, 0.16381624341011047, 0.6457691788673401, 0.47396811842918396, 0.8066458106040955, 0.31225281953811646, 0.9850336313247681, 0.4582365155220032, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",power_hiit,5,barbell wrist curl v. 2;dumbbell one arm upright row;cable squatting curl;smith incline bench press;barbell incline bench press
"[0.8897942304611206, 0.4269190728664398, 0.5765385627746582, 0.3318043053150177, 0.0, 0.4000000059604645, 0.20000000298023224, 0.0, 0.20000000298023224, 0.20000000298023224, 0.0, 0.0, 0.05428410321474075, 0.0780818983912468, 0.29418396949768066, 0.77609783411026, 0.6341356635093689, 0.5662930607795715, 0.9600917100906372]","[0.41478145122528076, 0.37557077407836914, 0.2624811828136444, 0.0, 0.0, 1.0, 1.0, 0.30287665128707886, 0.0, 0.0, 1.0, 0.4579736292362213, 0.0, 0.0, 1.0, 0.7435033321380615, 0.2735345959663391, 0.6421425342559814, 0.5243562459945679, 0.4122888147830963, 0.9668999910354614, 0.251716285943985, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]",recovery,5,barbell standing close grip curl;dumbbell reverse spider curl;dumbbell one arm upright row;cable squatting curl;lever seated row
"[0.365650475025177, 0.9641605615615845, 0.5298312902450562, 0.7196134924888611, 0.0, 0.20000000298023224, 0.20000000298023224, 0.0, 0.6000000238418579, 0.0, 0.0, 0.0, 0.058951571583747864, 0.0992664247751236, 0.28020769357681274, 0.938519299030304, 0.523406982421875, 0.6518492102622986, 0.7216600179672241]","[0.4077138900756836, 0.21534547209739685, 0.771277666091919, 1.0, 0.0, 0.0, 0.0, 0.2490343153476715, 0.0, 0.0, 1.0, 0.1049816682934761, 0.0, 0.0, 0.0, 0.28796640038490295, 0.4974472224712372, 0.45761144161224365, 0.7750450968742371, 0.3286338150501251, 0.9850342273712158, 0.4760870635509491, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",power_hiit,5,cable squatting curl;dumbbell standing concentration curl;cable seated crunch;cable seated curl;barbell seated overhead triceps extension
"[0.42935851216316223, 0.5238851308822632, 0.430597722530365, 0.670265257358551, 0.0, 0.1666666716337204, 0.3333333432674408, 0.1666666716337204, 0.0, 0.3333333432674408, 0.0, 0.0, 0.10308079421520233, 0.08854241669178009, 0.12981794774532318, 0.5110695958137512, 0.6094173192977905, 0.5537356734275818, 0.892722487449646]","[0.36145585775375366, 0.2917777895927429, 0.5550292134284973, 0.0, 1.0, 0.0, 0.0, 0.1366160362958908, 1.0, 0.0, 0.0, 0.18088506162166595, 0.0, 0.0, 0.0, 0.21032287180423737, 0.3560839891433716, 0.636694610118866, 0.7485024929046631, 0.34147223830223083, 0.9696003198623657, 0.5518481731414795, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]",endurance_basic,6,barbell incline bench press;barbell standing calf raise;lever seated row;kettlebell pistol squat;dumbbell reverse spider curl;lever front pulldown
"[0.7360628843307495, 0.7007312774658203, 0.47017964720726013, 0.7109031081199646, 0.0, 0.25, 0.5, 0.0, 0.0, 0.25, 0.0, 0.0, 0.1465824395418167, 0.07292062044143677, 0.12872947752475739, 0.9564408659934998, 0.8344765305519104, 0.7189930081367493, 0.7866297960281372]","[0.31675630807876587, 0.44993463158607483, 0.43430453538894653, 0.0, 1.0, 0.0, 0.0, 0.20430928468704224, 1.0, 0.0, 0.0, 0.016169359907507896, 0.0, 1.0, 0.0, 0.5435004830360413, 0.47107112407684326, 0.6607188582420349, 0.7171197533607483, 0.4137274920940399, 0.9694516658782959, 0.6071017384529114, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]",endurance_basic,4,dumbbell reverse spider curl;barbell incline bench press;smith incline bench press;barbell seated overhead triceps extension
"[0.6197169423103333, 0.9757438898086548, 0.6172971725463867, 0.475944459438324, 0.0, 0.25, 0.0, 0.25, 0.25, 0.25, 0.0, 0.0, 0.09723999351263046, 0.0700673907995224, 0.10314400494098663, 0.6448577046394348, 0.6847043037414551, 0.7821835875511169, 0.9720333218574524]","[0.29976338148117065, 0.2799017131328583, 0.515381932258606, 0.0, 1.0, 0.0, 0.0, 0.18149884045124054, 1.0, 0.0, 0.0, 0.07814348489046097, 0.0, 1.0, 0.0, 0.2986469566822052, 0.5505082011222839, 0.6720448136329651, 0.6844385862350464, 0.4250034689903259, 0.982099711894989, 0.5873773694038391, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]",endurance_basic,4,kettlebell pistol squat;dumbbell lying single extension;lever front pulldown;cable seated curl
"[0.8908460736274719, 0.5101274251937866, 0.3473682701587677, 0.7036847472190857, 0.0, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1478596329689026, 0.06167059391736984, 0.18634144961833954, 0.5311338305473328, 0.8882659673690796, 0.9743543863296509, 0.7494970560073853]","[0.5136092901229858, 0.3213777244091034, 0.4599771499633789, 0.0, 1.0, 0.0, 0.0, 0.09276777505874634, 1.0, 0.0, 0.0, 0.008602793328464031, 0.0, 1.0, 0.0, 0.4713572561740875, 0.5481597185134888, 0.6343928575515747, 0.8047657608985901, 0.36403557658195496, 0.9861122965812683, 0.5578334927558899, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",endurance_basic,4,barbell incline bench press;dumbbell lying single extension;dumbbell reverse spider curl;barbell wrist curl v. 2
"[0.5450154542922974, 0.7816259860992432, 0.560796320438385, 0.6292167901992798, 0.0, 0.3333333432674408, 0.0, 0.0, 0.0, 0.3333333432674408, 0.3333333432674408, 0.0, 0.14248216152191162, 0.07285251468420029, 0.19874383509159088, 0.9419962763786316, 0.5389468669891357, 0.5279441475868225, 0.6166511178016663]","[0.36922547221183777, 0.30660611391067505, 0.6775797605514526, 1.0, 1.0, 0.0, 0.0, 0.268248587846756, 0.0, 1.0, 0.0, 0.110469751060009, 0.0, 1.0, 0.0, 0.3565961420536041, 0.7130756974220276, 0.6028168201446533, 0.6070951223373413, 0.36835840344429016, 0.9802724123001099, 0.6880757212638855, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]",endurance_threshold,3,sled 45° leg press (side pov);dumbbell front raise;weighted side bend (on stability ball)
"[0.24005848169326782, 0.7124124765396118, 0.5334402918815613, 0.30645501613616943, 0.0, 0.800000011920929, 0.0, 0.0, 0.0, 0.20000000298023224, 0.0, 0.0, 0.07245701551437378, 0.1405542641878128, 0.20890280604362488, 0.7181929349899292, 0.7077482342720032, 0.9440804123878479, 0.6835156083106995]","[0.40112465620040894, 0.38625332713127136, 0.7295756936073303, 1.0, 1.0, 0.0, 0.0, 0.340603232383728, 0.0, 0.0, 1.0, 0.10840115696191788, 0.0, 1.0, 0.0, 0.2937891185283661, 0.5880981087684631, 0.5699399709701538, 0.5448153614997864, 0.36255547404289246, 0.9849337935447693, 0.4046447277069092, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",endurance_threshold,5,dumbbell over bench revers wrist curl;lever front pulldown;dumbbell palms in incline bench press;dumbbell lying single extension;dumbbell one arm hammer preacher curl
